"E","Ssqrd","Sz","mx","my"
-5.6172795032965865,20,4.0,0,0
-3.205919445814248,20,4.0,0,0
-2.836649902779028,20,4.0,0,0
-2.6605110043355507,20,4.0,0,0
-2.428327300804137,20,4.0,0,0
-2.3208949027236283,20,4.0,0,0
-4.004229388929013,20,4.0,0,1
-2.883828059310511,20,4.0,0,1
-2.4166381710325346,20,4.0,0,1
-2.2321487537339695,20,4.0,0,1
-1.9082609065303415,20,4.0,0,1
-1.826522159590643,20,4.0,0,1
-3.7614735937319255,20,4.0,0,2
-3.2059194458142524,20,4.0,0,2
-2.6103736753716253,20,4.0,0,2
-2.3865606357793228,20,4.0,0,2
-2.0901406776203384,20,4.0,0,2
-1.9579188376700931,20,4.0,0,2
-4.004229388929049,20,4.0,0,3
-2.88382805931051,20,4.0,0,3
-2.4166381710325315,20,4.0,0,3
-2.2321487537339686,20,4.0,0,3
-1.9082609065302019,20,4.0,0,3
-1.8265221595891699,20,4.0,0,3
-4.004229388929042,20,4.0,1,0
-2.883828059310533,20,4.0,1,0
-2.4166381710325306,20,4.0,1,0
-2.232148753733971,20,4.0,1,0
-1.9082609065292524,20,4.0,1,0
-1.8265221595748657,20,4.0,1,0
-3.761473593731938,20,4.0,1,1
-2.6103736753716467,20,4.0,1,1
-2.428327300804142,20,4.0,1,1
-2.2473538161555577,20,4.0,1,1
-2.09014067762035,20,4.0,1,1
-1.820472501601447,20,4.0,1,1
-3.6666229899784595,20,4.0,1,2
-2.883828059310515,20,4.0,1,2
-2.416638171032528,20,4.0,1,2
-2.1970850621379077,20,4.0,1,2
-1.9082609065306066,20,4.0,1,2
-1.6842878976712639,20,4.0,1,2
-3.7614735937319494,20,4.0,1,3
-2.610373675371637,20,4.0,1,3
-2.4283273008041286,20,4.0,1,3
-2.2473538161555413,20,4.0,1,3
-2.0901406776203353,20,4.0,1,3
-1.82047250158558,20,4.0,1,3
-3.7614735937319237,20,4.0,2,0
-3.2059194458142644,20,4.0,2,0
-2.610373675371637,20,4.0,2,0
-2.386560635779307,20,4.0,2,0
-2.090140677620336,20,4.0,2,0
-1.95791883767493,20,4.0,2,0
-3.6666229899784466,20,4.0,2,1
-2.883828059310529,20,4.0,2,1
-2.4166381710325524,20,4.0,2,1
-2.1970850621379037,20,4.0,2,1
-1.9082609065306009,20,4.0,2,1
-1.6842878975985904,20,4.0,2,1
-2.8661982625090228,30,4.0,2,2
-2.6605110043355427,20,4.0,2,2
-2.386560635779313,20,4.0,2,2
-2.320894902723623,20,4.0,2,2
-2.2473538161555493,20,4.0,2,2
-1.999999999999971,20,4.0,2,2
-3.666622989978461,20,4.0,2,3
-2.8838280593105385,20,4.0,2,3
-2.4166381710325284,20,4.0,2,3
-2.197085062137913,20,4.0,2,3
-1.9082609065306106,20,4.0,2,3
-1.6842878976694122,20,4.0,2,3
-4.004229388929022,20,4.0,3,0
-2.883828059310523,20,4.0,3,0
-2.416638171032539,20,4.0,3,0
-2.2321487537339673,20,4.0,3,0
-1.9082609065303875,20,4.0,3,0
-1.8265221595686847,20,4.0,3,0
-3.7614735937319397,20,4.0,3,1
-2.61037367537163,20,4.0,3,1
