"E","Ssqrd","Sz","mx","my"
-11.228483208428898,0,0.0,0,0
-9.517687983937344,6,0.0,0,0
-8.252826957307924,0,0.0,0,0
-7.687234326046304,0,0.0,0,0
-7.432605406057664,2,0.0,0,0
-6.7767694977222,6,0.0,0,0
-8.794378908137505,2,0.0,0,1
-7.8779053913720345,0,0.0,0,1
-7.765674255667691,6,0.0,0,1
-7.389958179620305,2,0.0,0,1
-6.910830938764659,0,0.0,0,1
-6.659100547427989,2,0.0,0,1
-8.518283596238064,2,0.0,0,2
-8.252826957307983,0,0.0,0,2
-7.477053302195162,6,0.0,0,2
-7.374397842883042,2,0.0,0,2
-7.128523374608086,0,0.0,0,2
-6.7767694981276865,6,0.0,0,2
-8.794378908137572,2,0.0,0,3
-7.87790539137202,0,0.0,0,3
-7.76567425566767,6,0.0,0,3
-7.389958179620288,2,0.0,0,3
-6.910830938764662,0,0.0,0,3
-6.659100547470507,2,0.0,0,3
-8.794378908137555,2,0.0,1,0
-7.877905391372023,0,0.0,1,0
-7.765674255667684,6,0.0,1,0
-7.389958179620287,2,0.0,1,0
-6.910830938764567,0,0.0,1,0
-6.659100545850938,2,0.0,1,0
-8.518283596238065,2,0.0,1,1
-7.8121480089522395,0,0.0,1,1
-7.477053302195175,6,0.0,1,1
-7.4326054060576645,2,0.0,1,1
-7.1285233746080845,0,0.0,1,1
-6.735370111899903,2,0.0,1,1
-8.88644240780651,2,0.0,1,2
-7.877905391372073,0,0.0,1,2
-7.630213162591224,6,0.0,1,2
-7.38995817962033,2,0.0,1,2
-6.974803688463795,0,0.0,1,2
-6.587694931403133,2,0.0,1,2
-8.518283596238103,2,0.0,1,3
-7.812148008952268,0,0.0,1,3
-7.477053302195199,6,0.0,1,3
-7.43260540605765,2,0.0,1,3
-7.1285233746080765,0,0.0,1,3
-6.735370111937964,2,0.0,1,3
-8.51828359623807,2,0.0,2,0
-8.252826957307947,0,0.0,2,0
-7.4770533021951815,6,0.0,2,0
-7.3743978428830745,2,0.0,2,0
-7.128523374608103,0,0.0,2,0
-6.776769498119771,6,0.0,2,0
-8.886442407806516,2,0.0,2,1
-7.877905391372076,0,0.0,2,1
-7.630213162591237,6,0.0,2,1
-7.389958179620313,2,0.0,2,1
-6.974803688463788,0,0.0,2,1
-6.587694931431177,2,0.0,2,1
-10.649884872663486,2,0.0,2,2
-7.836537573479827,12,0.0,2,2
-7.81214800895225,0,0.0,2,2
-7.812148008936653,0,0.0,2,2
-7.374397842883072,2,0.0,2,2
-6.632899657242482,2,0.0,2,2
-8.88644240780653,2,0.0,2,3
-7.877905391372087,0,0.0,2,3
-7.630213162591264,6,0.0,2,3
-7.389958179620347,2,0.0,2,3
-6.9748036884638,0,0.0,2,3
-6.587694931355134,2,0.0,2,3
-8.79437890813756,2,0.0,3,0
-7.87790539137206,0,0.0,3,0
-7.765674255667716,6,0.0,3,0
-7.389958179620308,2,0.0,3,0
-6.910830938764662,0,0.0,3,0
-6.659100547437775,2,0.0,3,0
-8.518283596238057,2,0.0,3,1
-7.812148008952283,0,0.0,3,1
-7.47705330219518,6,0.0,3,1
-7.43260540605765,2,0.0,3,1
-7.128523374608066,0,0.0,3,1
-6.735370111943128,2,0.0,3,1
