"E","Sz","mx","my"
-16.552513793979088,0.0,0,0
-15.310907084431097,0.0,0,0
-14.159676250866688,0.0,0,0
-13.736346344351409,0.0,0,0
-13.082587038158577,0.0,0,0
-12.866095893223967,0.0,0,0
-14.244165398081895,0.0,0,1
-13.489430988000219,0.0,0,1
-13.336683714993649,0.0,0,1
-13.276395390914923,0.0,0,1
-12.58483317827783,0.0,0,1
-12.58103736291854,0.0,0,1
-14.018357691957847,0.0,0,2
-13.713722279287126,0.0,0,2
-13.297273352467835,0.0,0,2
-13.134636264130027,0.0,0,2
-12.55957968036308,0.0,0,2
-12.550431284442332,0.0,0,2
-14.244165398081872,0.0,0,3
-13.489430988000153,0.0,0,3
-13.33668371499367,0.0,0,3
-13.276395390914868,0.0,0,3
-12.584833178163327,0.0,0,3
-12.581037362562126,0.0,0,3
-14.690018210659227,0.0,1,0
-13.975322315289189,0.0,1,0
-13.475372748928152,0.0,1,0
-12.86624582433429,0.0,1,0
-12.772696942003355,0.0,1,0
-12.765134752814475,0.0,1,0
-14.001773704437166,0.0,1,1
-13.272338497032365,0.0,1,1
-13.238393974843829,0.0,1,1
-13.187483421557582,0.0,1,1
-12.945126839398894,0.0,1,1
-12.56053985479969,0.0,1,1
-14.092100418288167,0.0,1,2
-13.494473976060183,0.0,1,2
-13.243889287077483,0.0,1,2
-13.232268407019703,0.0,1,2
-12.843456756015936,0.0,1,2
-12.814875073480989,0.0,1,2
-14.001773704437149,0.0,1,3
-13.272338497032377,0.0,1,3
-13.238393974843794,0.0,1,3
-13.187483421557582,0.0,1,3
-12.945126839398885,0.0,1,3
-12.560539850346503,0.0,1,3
-13.984563816096948,0.0,2,0
-13.836148429343226,0.0,2,0
-13.400583706582596,0.0,2,0
-13.226158652809238,0.0,2,0
-13.080261965176256,0.0,2,0
-13.039823271290222,0.0,2,0
-14.011534349431688,0.0,2,1
-13.501294520218048,0.0,2,1
-13.262632158850963,0.0,2,1
-12.960081147918707,0.0,2,1
-12.873760950792164,0.0,2,1
-12.598622826214836,0.0,2,1
-14.814249039535587,0.0,2,2
-13.784563862511108,0.0,2,2
-13.270841452300644,0.0,2,2
-13.222398194553069,0.0,2,2
-12.989058893779877,0.0,2,2
-12.782671580152277,0.0,2,2
-14.011534349431592,0.0,2,3
-13.501294520218023,0.0,2,3
-13.262632158850941,0.0,2,3
-12.9600811479187,0.0,2,3
-12.873760950792168,0.0,2,3
-12.598622830237902,0.0,2,3
-13.94192048567535,0.0,3,0
-13.93073096982464,0.0,3,0
-13.246752018788271,0.0,3,0
-13.08077554073968,0.0,3,0
-12.85831223977585,0.0,3,0
-12.749162723827235,0.0,3,0
-14.273836468762767,0.0,3,1
-13.608662967625282,0.0,3,1
-13.439563871704125,0.0,3,1
-13.028917708179824,0.0,3,1
-12.823347673077198,0.0,3,1
-12.476610183286477,0.0,3,1
-16.12850251544593,0.0,3,2
-14.107842840122753,0.0,3,2
-13.895450552564492,0.0,3,2
-13.302265240348788,0.0,3,2
-13.268213934278933,0.0,3,2
-12.771965241700272,0.0,3,2
-14.273836468762749,0.0,3,3
-13.608662967625294,0.0,3,3
-13.439563871704083,0.0,3,3
-13.028917708179794,0.0,3,3
-12.82334767307723,0.0,3,3
-12.476610188930778,0.0,3,3
-13.984563816096935,0.0,4,0
-13.83614842934322,0.0,4,0
-13.400583706582578,0.0,4,0
-13.226158652843681,0.0,4,0
-13.080261967822047,0.0,4,0
-13.039823274180126,0.0,4,0
-14.01153434943161,0.0,4,1
-13.50129452021801,0.0,4,1
-13.262632158850971,0.0,4,1
-12.960081147918741,0.0,4,1
-12.873760950792201,0.0,4,1
-12.598622830165652,0.0,4,1
-14.814249039535563,0.0,4,2
-13.784563862511124,0.0,4,2
-13.27084145230061,0.0,4,2
-13.222398194553048,0.0,4,2
-12.989058893779864,0.0,4,2
-12.78267158014607,0.0,4,2
